,T_stag_in,n_norm_rel,pi_c_stag,pi_c_stag_rel,pi_t1_stag,pi_t2_stag,pi_t3_stag
20,243.0,1.016,17.7,1.041,1.74,2.24,3.89
19,246.0,1.014,17.64,1.037,1.74,2.24,3.89
18,249.0,1.013,17.58,1.033,1.74,2.24,3.89
17,252.0,1.011,17.52,1.03,1.74,2.24,3.89
16,255.0,1.009,17.46,1.026,1.74,2.24,3.89
15,258.0,1.008,17.4,1.023,1.74,2.24,3.89
14,261.0,1.006,17.34,1.019,1.74,2.24,3.89
13,264.0,1.004,17.28,1.016,1.74,2.24,3.89
12,267.0,1.003,17.22,1.012,1.74,2.24,3.89
11,270.0,1.001,17.16,1.009,1.74,2.24,3.89
10,273.0,1.0,17.11,1.006,1.74,2.24,3.89
9,276.0,0.998,17.05,1.002,1.74,2.24,3.89
8,279.0,0.997,16.99,0.999,1.74,2.24,3.89
7,282.0,0.996,16.94,0.996,1.74,2.24,3.89
6,285.0,0.993,16.79,0.987,1.74,2.24,3.89
5,288.0,0.988,16.53,0.972,1.74,2.23,3.89
4,291.0,0.983,16.28,0.957,1.74,2.23,3.89
3,294.0,0.978,16.04,0.943,1.74,2.23,3.89
2,297.0,0.973,15.81,0.93,1.74,2.23,3.89
1,300.0,0.968,15.59,0.916,1.74,2.23,3.89
0,303.0,0.964,15.37,0.904,1.74,2.22,3.89
